file,model,table,description,lineageTag
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_3e9628b4-fa22-4c3c-b272-3a06a0a0081b.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_3e9628b4-fa22-4c3c-b272-3a06a0a0081b,System: Auto-generated date table used by Power BI for local date hierarchies.,7615a608-a79f-4964-879d-b97e4e7da672
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_4093fb22-4030-45b1-95d3-345c047026d2.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_4093fb22-4030-45b1-95d3-345c047026d2,System: Auto-generated date table used by Power BI for local date hierarchies.,1d06d83b-cc82-4201-8b72-addf321e197c
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_42f0649c-f9e5-4a78-94e5-1cd6a57a1ed2.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_42f0649c-f9e5-4a78-94e5-1cd6a57a1ed2,System: Auto-generated date table used by Power BI for local date hierarchies.,762e94c0-0037-40f0-897b-a81983d87697
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_48379972-0a79-4ef0-8873-b26d55fb5b4a.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_48379972-0a79-4ef0-8873-b26d55fb5b4a,System: Auto-generated date table used by Power BI for local date hierarchies.,2906fc99-b6d2-47c5-b281-23793396db06
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_484c2fd8-cd66-4d82-b314-a9b4c3fe8adb.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_484c2fd8-cd66-4d82-b314-a9b4c3fe8adb,System: Auto-generated date table used by Power BI for local date hierarchies.,fd5de622-b28f-4974-9a47-0ce352a8f118
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_499d81ee-88d4-4514-a371-ca7530c2b893.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_499d81ee-88d4-4514-a371-ca7530c2b893,System: Auto-generated date table used by Power BI for local date hierarchies.,eb3b39de-4899-4861-b6ec-73805be0c044
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_4a533cf9-0999-4765-b7bb-cf37ad970107.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_4a533cf9-0999-4765-b7bb-cf37ad970107,System: Auto-generated date table used by Power BI for local date hierarchies.,5feef9b8-448a-480e-9f00-b195ede974e2
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_4c6428db-65f0-4375-95b6-42c2a9bd1e8d.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_4c6428db-65f0-4375-95b6-42c2a9bd1e8d,System: Auto-generated date table used by Power BI for local date hierarchies.,746ecff0-d418-4141-aee9-22af53bd92e5
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_4d2beb2b-ab10-4f13-9603-2384de61cb78.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_4d2beb2b-ab10-4f13-9603-2384de61cb78,System: Auto-generated date table used by Power BI for local date hierarchies.,6bd266fa-5c47-429c-9493-2f6e0dd822f6
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_4d337d64-3f5c-493e-b3cc-cc17a3549e8e.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_4d337d64-3f5c-493e-b3cc-cc17a3549e8e,System: Auto-generated date table used by Power BI for local date hierarchies.,d0faea15-e744-4263-b832-e40418bd0e17
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_55c45097-6e73-44e2-80fd-ee033e380a52.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_55c45097-6e73-44e2-80fd-ee033e380a52,System: Auto-generated date table used by Power BI for local date hierarchies.,ddd4dde3-e613-4b80-bf1d-705d28b944b1
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_584b5e79-cd1f-4b2e-a7d7-c0465af91ce6.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_584b5e79-cd1f-4b2e-a7d7-c0465af91ce6,System: Auto-generated date table used by Power BI for local date hierarchies.,576491cd-5121-41a1-9a7c-9bfda1f120f5
