"report","tab","page_id","visual_id","uses_managers_direct","uses_managers_total","visual_path"
"Utility Box Report.Report","Performance Metrics - List View","491810e27030aaeac731","2b88326fdce4b8470218","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\491810e27030aaeac731\visuals\2b88326fdce4b8470218\visual.json"
"Utility Box Report.Report","Performance Metrics - List View","491810e27030aaeac731","b849de30a809ee9060ca","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\491810e27030aaeac731\visuals\b849de30a809ee9060ca\visual.json"
"Utility Box Report.Report","Performance Metrics - Rep Details","b5ee815f5ee189d0e265","c5e2f7bc9654e086d64b","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\b5ee815f5ee189d0e265\visuals\c5e2f7bc9654e086d64b\visual.json"
"Utility Box Report.Report","Performance Metrics - Rep Details","b5ee815f5ee189d0e265","d5a14420e9b71287410b","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\b5ee815f5ee189d0e265\visuals\d5a14420e9b71287410b\visual.json"
"Utility Box Report.Report","Performance Metrics - Sort-by-Anything","ae1824cb005a316c0094","0273e9e234e9b09b0353","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ae1824cb005a316c0094\visuals\0273e9e234e9b09b0353\visual.json"
"Utility Box Report.Report","Performance Metrics - Sort-by-Anything","ae1824cb005a316c0094","563d7bfc0363740d1870","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ae1824cb005a316c0094\visuals\563d7bfc0363740d1870\visual.json"
"Utility Box Report.Report","Pipeline Verification Summary","a942e750c982450606e7","60ad0b4a5c9332065b49","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\a942e750c982450606e7\visuals\60ad0b4a5c9332065b49\visual.json"
"Utility Box Report.Report","Pipeline Verification Summary","a942e750c982450606e7","da2dc75a524a9b9d7089","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\a942e750c982450606e7\visuals\da2dc75a524a9b9d7089\visual.json"
"Utility Box Report.Report","Sales Engineering Effectiveness","15a15a99646c4f717832","77a8f7e42a0351220503","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\15a15a99646c4f717832\visuals\77a8f7e42a0351220503\visual.json"
"Utility Box Report.Report","Sales Engineering Effectiveness","15a15a99646c4f717832","8da6c36556e369786de5","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\15a15a99646c4f717832\visuals\8da6c36556e369786de5\visual.json"
"Utility Box Report.Report","Time Allocation by Group","447501c875465686d172","13041ea700b0ce002024","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\447501c875465686d172\visuals\13041ea700b0ce002024\visual.json"
"Utility Box Report.Report","Time Allocation by Group","447501c875465686d172","e9cb0ed43f49c62dbc83","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\447501c875465686d172\visuals\e9cb0ed43f49c62dbc83\visual.json"
