"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.ssr_history_duration_hrs_prospecting_sales_process_step","0","","0","0"
"meas.ssr_history_duration_hrs_rep_day","0","","0","0"
"meas.ssr_history_duration_hrs_rep_week","0","","0","0"
"meas.ssr_history_existing_customer_selling_annual_purchases_acct","0","","0","0"
"meas.ssr_history_failure_lost_stage_early_count","0","","0","0"
"meas.ssr_history_failure_lost_stage_late_count","0","","0","0"
"meas.ssr_history_failure_lost_stage_mid_count","0","","0","0"
"meas.ssr_history_failure_lost_stage_nd_count","0","","0","0"
"meas.ssr_history_first_touched_days","0","","0","0"
"meas.ssr_history_generated_pipeline_amt_diff","0","","0","0"
"meas.ssr_history_inbound_mkt_leads_touched_ratio","0","","0","0"
"meas.ssr_history_is_open_pipeline","0","","0","0"
"meas.ssr_history_last_engage_age_days","0","","0","0"
"meas.ssr_history_leads_accts_engagement_rate","0","","0","0"
"meas.ssr_history_leads_avg_mkt_sales_probability_of_conversion","0","","0","0"
"meas.ssr_history_leads_dept_rate","0","","0","0"
"meas.ssr_history_leads_gen_vi_vc","0","","0","0"
"meas.ssr_history_leads_gen_vi_vc_rate","0","","0","0"
"meas.ssr_history_leads_inbound","0","","0","0"
"meas.ssr_history_leads_inbound_probability_of_conversion","0","","0","0"
"meas.ssr_history_leads_inbound_vi_vc","0","","0","0"
"meas.ssr_history_leads_mkt_gen","0","","0","0"
"meas.ssr_history_leads_mkt_gen_probability_of_conversion","0","","0","0"
"meas.ssr_history_leads_mkt_gen_vi_vc","0","","0","0"
"meas.ssr_history_leads_outbound","0","","0","0"
"meas.ssr_history_leads_outbound_probability_of_conversion","0","","0","0"
"meas.ssr_history_leads_outbound_vi_vc","0","","0","0"
"meas.ssr_history_leads_sales_gen_probability_of_conversion","0","","0","0"
"meas.ssr_history_leads_sales_gen_vi_vc","0","","0","0"
"meas.ssr_history_leads_touched_avg_days","0","","0","0"
"meas.ssr_history_leads_touched_ratio","0","","0","0"
"meas.ssr_history_leads_touched_ratio_updated","0","","0","0"
"meas.ssr_history_leads_updated","0","","0","0"
