"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.calc_hyp9_kpi2_nominator_count","1","meas.heatmap_kpi2_record_count","0","0"
"meas.check_kpi1_kpi2_weight","0","","0","0"
"meas.combined_score_concatenated","0","","0","0"
"meas.combined_score_top","0","","0","0"
"meas.combined_score_top_w_text","0","","0","0"
"meas.get_category_base64","0","","0","0"
"meas.get_growth_category","1","meas.get_category_base64","0","0"
"meas.getHeatmapConditionalColor","0","","0","0"
"meas.getHeatmapConditionalColor_new","0","","0","0"
"meas.getHeatmapKPI_AIScore","7","meas.getHeatmapConditionalColor; meas.getHeatmapConditionalColor_new; meas.getHeatmapScore; meas.heatmap_details_ai_model_score_validation; meas.heatmap_details_score_new; meas.heatmap_details_score_w_na_nd; meas.hypothesis_is_confirmed_details","0","0"
"meas.getHeatmapKPI1_formula_used","0","","0","0"
"meas.getHeatmapKPI2_formula_used","0","","0","0"
"meas.getHeatmapRawScore","4","meas.getHeatmapScore; meas.heatmap_details_score_new; meas.heatmap_rounded_score","0","0"
"meas.getHeatmapScore","3","meas.getHeatmapConditionalColor; meas.heatmap_details_score; meas.hypothesis_is_confirmed_details","0","0"
"meas.getKP2_Score_chng","0","","0","0"
"meas.heatmap_booking_growth_rate","0","","0","0"
"meas.heatmap_combined_record_count_flag","2","meas.heatmap_details_score_new; meas.heatmap_details_score_w_na_nd","0","0"
"meas.heatmap_details_ai_model_score_validation","0","","0","0"
"meas.heatmap_details_description","0","","0","0"
"meas.heatmap_details_growth_category","2","meas.heatmap_details_growth_category_base64; meas.heatmap_details_growth_category_hypo_name","0","0"
"meas.heatmap_details_growth_category_base64","0","","0","0"
"meas.heatmap_details_growth_category_hypo_name","0","","0","0"
"meas.heatmap_details_hypothesis_confirmed","0","","0","0"
"meas.heatmap_details_hypothesis_id","0","","0","0"
"meas.heatmap_details_KPI 1_denominator_value","0","","0","0"
"meas.heatmap_details_KPI 1_nominator_value","0","","0","0"
"meas.heatmap_details_KPI 1_Score_value","0","","0","0"
"meas.heatmap_details_KPI 1_value","0","","0","0"
"meas.heatmap_details_KPI 2_denominator_value","0","","0","0"
"meas.heatmap_details_KPI 2_nominator_value","0","","0","0"
"meas.heatmap_details_KPI 2_Score_value","0","","0","0"
"meas.heatmap_details_KPI 2_value","0","","0","0"
"meas.heatmap_details_kpi_report_location","0","","0","0"
"meas.heatmap_details_kpi_screen","0","","0","0"
"meas.heatmap_details_kpi1_ai_score_name","0","","0","0"
"meas.heatmap_details_kpi1_calculation","0","","0","0"
"meas.heatmap_details_kpi1_def_short","0","","0","0"
"meas.heatmap_details_kpi1_denominator_def","2","meas.heatmap_details_kpi1_calculation; meas.how_kpi1_calculated","0","0"
"meas.heatmap_details_kpi1_long_def","0","","0","0"
"meas.heatmap_details_kpi1_max_value","0","","0","0"
"meas.heatmap_details_kpi1_min_value","0","","0","0"
"meas.heatmap_details_kpi1_nominator_def","2","meas.heatmap_details_kpi1_calculation; meas.how_kpi1_calculated","0","0"
"meas.heatmap_details_kpi1_reference_value","0","","0","0"
"meas.heatmap_details_kpi1_score_calculation","0","","0","0"
"meas.heatmap_details_kpi1_score_trend_calculation","0","","0","0"
"meas.heatmap_details_kpi1_standard_dev_value","0","","0","0"
"meas.heatmap_details_kpi1_value_trend","0","","0","0"
"meas.heatmap_details_kpi1_weight_value","3","meas.kpi_combined_score; meas.kpi_combined_score_calculation; meas.kpi_score_combined_text","0","0"
"meas.heatmap_details_kpi1_whats_better","2","meas.kpi1_value_delta_concatenated; meas.kpi1_value_delta_top","0","0"
"meas.heatmap_details_kpi2_ai_score_name","0","","0","0"
"meas.heatmap_details_kpi2_calculation","0","","0","0"
"meas.heatmap_details_kpi2_def_short","0","","0","0"
"meas.heatmap_details_kpi2_denominator_def","2","meas.heatmap_details_kpi2_calculation; meas.how_kpi2_calculated","0","0"
"meas.heatmap_details_kpi2_long_def","0","","0","0"
"meas.heatmap_details_kpi2_max_value","0","","0","0"
"meas.heatmap_details_kpi2_min_value","0","","0","0"
"meas.heatmap_details_kpi2_nominator_def","2","meas.heatmap_details_kpi2_calculation; meas.how_kpi2_calculated","0","0"
"meas.heatmap_details_kpi2_reference_value","0","","0","0"
"meas.heatmap_details_kpi2_score_calculation","0","","0","0"
"meas.heatmap_details_kpi2_score_trend_calculation","0","","0","0"
"meas.heatmap_details_kpi2_standard_dev_value","0","","0","0"
"meas.heatmap_details_kpi2_value_trend","0","","0","0"
"meas.heatmap_details_kpi2_weight_value","11","meas.getHeatmapRawScore; meas.how_kpi2_component_considered; meas.hypothesis_final_score; meas.kpi_combined_score; meas.kpi_combined_score_calculation; meas.kpi_score_combined_text","0","0"
"meas.heatmap_details_kpi2_whats_better","2","meas.kpi2_value_delta_concatenated; meas.kpi2_value_delta_top","0","0"
"meas.heatmap_details_name","1","meas.heatmap_details_growth_category_hypo_name","0","0"
"meas.heatmap_details_score","0","","0","0"
"meas.heatmap_details_score_new","3","meas.getHeatmapConditionalColor_new; meas.heatmap_details_score_used_analysis; meas.hypothesis_is_confirmed","0","0"
"meas.heatmap_details_score_used_analysis","0","","0","0"
"meas.heatmap_details_score_w_na_nd","0","","0","0"
"meas.heatmap_kpi1_min_record_count","2","meas._test_number; meas.heatmap_kpi1_record_count_flag","0","0"
"meas.heatmap_kpi1_min_record_factor_name","0","","0","0"
"meas.heatmap_kpi1_record_count","2","meas._test_number; meas.heatmap_kpi1_record_count_flag","0","0"
"meas.heatmap_kpi1_record_count_flag","1","meas.heatmap_combined_record_count_flag","0","0"
"meas.heatmap_kpi2_min_record_count","2","meas._test_number; meas.heatmap_kpi2_record_count_flag","0","0"
"meas.heatmap_kpi2_min_record_factor_name","0","","0","0"
"meas.heatmap_kpi2_record_count","2","meas._test_number; meas.heatmap_kpi2_record_count_flag","0","0"
"meas.heatmap_kpi2_record_count_flag","1","meas.heatmap_combined_record_count_flag","0","0"
"meas.heatmap_rounded_score","1","meas.heatmap_details_score_w_na_nd","0","0"
"meas.heatmap_trust_data_pi","0","","0","0"
"meas.how_kpi1_calculated","0","","0","0"
"meas.how_kpi1_component_considered","0","","0","0"
"meas.how_kpi1_score_calculation","0","","0","0"
"meas.how_kpi2_calculated","0","","0","0"
"meas.how_kpi2_component_considered","0","","0","0"
"meas.how_kpi2_score_calculation","0","","0","0"
"meas.hypothesis_final_score","0","","0","0"
"meas.hypothesis_is_confirmed","1","meas.heatmap_details_hypothesis_confirmed","0","0"
"meas.hypothesis_is_confirmed_details","0","","0","0"
