"measure","table","inbound_measure_refs","report_refs","visual_refs"
"meas.ssr_history_avg_won_cycles_days_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_won_existing_customer_selling_amt","ssr_history","0","0","0"
"meas.ssr_history_avg_won_new_logo_amt","ssr_history","0","0","0"
"meas.ssr_history_cal_end_sel_date_count","ssr_history","0","0","0"
"meas.ssr_history_count_sys_doc_id","ssr_history","0","0","0"
"meas.ssr_history_created_first_touched_age","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_deals","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_deals_stage","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_deals_stage_accumulation","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_existing_customer_selling_sales_process_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_lost_deals","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_new_logo_sales_process_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_per_acct","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_per_acct_post_sales_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_per_acct_prospect_new_logo","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_per_prior_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_per_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_post_sales_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_post_sales_sales_process_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_prosp_new_logo","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_prospecting_sales_process_step","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_rep_day","ssr_history","0","0","0"
"meas.ssr_history_duration_hrs_rep_week","ssr_history","0","0","0"
"meas.ssr_history_existing_customer_selling_annual_purchases_acct","ssr_history","0","0","0"
"meas.ssr_history_failure_lost_stage_early_count","ssr_history","0","0","0"
"meas.ssr_history_failure_lost_stage_late_count","ssr_history","0","0","0"
"meas.ssr_history_failure_lost_stage_mid_count","ssr_history","0","0","0"
"meas.ssr_history_failure_lost_stage_nd_count","ssr_history","0","0","0"
"meas.ssr_history_first_touched_days","ssr_history","0","0","0"
"meas.ssr_history_generated_pipeline_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_inbound_mkt_leads_touched_ratio","ssr_history","0","0","0"
"meas.ssr_history_is_open_pipeline","ssr_history","0","0","0"
"meas.ssr_history_last_engage_age_days","ssr_history","0","0","0"
"meas.ssr_history_leads_accts_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_leads_avg_mkt_sales_probability_of_conversion","ssr_history","0","0","0"
"meas.ssr_history_leads_dept_rate","ssr_history","0","0","0"
"meas.ssr_history_leads_gen_vi_vc","ssr_history","0","0","0"
"meas.ssr_history_leads_gen_vi_vc_rate","ssr_history","0","0","0"
"meas.ssr_history_leads_inbound","ssr_history","0","0","0"
"meas.ssr_history_leads_inbound_probability_of_conversion","ssr_history","0","0","0"
"meas.ssr_history_leads_inbound_vi_vc","ssr_history","0","0","0"
"meas.ssr_history_leads_mkt_gen","ssr_history","0","0","0"
"meas.ssr_history_leads_mkt_gen_probability_of_conversion ","ssr_history","0","0","0"
"meas.ssr_history_leads_mkt_gen_vi_vc","ssr_history","0","0","0"
"meas.ssr_history_leads_outbound","ssr_history","0","0","0"
"meas.ssr_history_leads_outbound_probability_of_conversion","ssr_history","0","0","0"
"meas.ssr_history_leads_outbound_vi_vc","ssr_history","0","0","0"
"meas.ssr_history_leads_sales_gen_probability_of_conversion","ssr_history","0","0","0"
"meas.ssr_history_leads_sales_gen_vi_vc","ssr_history","0","0","0"
"meas.ssr_history_leads_touched_avg_days","ssr_history","0","0","0"
"meas.ssr_history_leads_touched_ratio","ssr_history","0","0","0"
"meas.ssr_history_leads_touched_ratio_updated","ssr_history","0","0","0"
"meas.ssr_history_leads_updated","ssr_history","0","0","0"
"meas.ssr_history_lost_amt","ssr_history","0","0","0"
"meas.ssr_history_mgmt_avg_won_amt_per_rep_diff","ssr_history","0","0","0"
